stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,l1,vo
420558772,420558773,0.112,0.33,0.112,-74.79066176470589,40.31169117647059,0.4352054237158972,1.6696536438062437
420557886,420558773,0.086,0.21,0.086,-74.7884294871795,40.31451923076923,0.4349279560034917,1.719903379392949
420553620,420553417,0.761,1.358,0.761,-74.79696120689657,40.32966235632185,0.4482819568987789,1.1510884603902949
420553824,420553417,0.053,0.117,0.053,-74.78989583333338,40.33020833333335,0.4394679757225635,1.7334054772783096
420553417,420551946,0.8410000000000001,0.234,0.027,-74.79062499999998,40.33312499999998,0.4529096442018209,1.144380384934
420552578,420551946,0.23,0.517,0.23,-74.79313095238096,40.33510714285714,0.4406151649490594,1.444742695700408
420551525,420551526,5.19,1.058,0.413,-74.79431878306879,40.339212962962975,0.4671506353611359,0.922994197975358
420551526,420551143,5.585999999999999,0.071,0.014,-74.78833333333333,40.34125,0.4719247244206028,0.8805385770159955
420550514,420551526,0.382,0.375,0.158,-74.79049242424242,40.34367424242424,0.442947957731638,1.162619686217771
420550311,420551143,0.151,0.419,0.151,-74.78653985507246,40.34440217391305,0.4432364247985522,1.489458692977037
420550722,420550514,0.112,0.375,0.112,-74.79404411764708,40.34257352941179,0.4373956965791429,1.621771689476334
420550310,420550514,0.112,0.304,0.112,-74.7950277777778,40.34547222222222,0.444823714613583,1.6205191355714357
420549336,420549337,1.248,0.562,0.217,-74.79084595959594,40.3478914141414,0.473158356653472,1.1635209943995997
420549516,420549336,0.952,0.492,0.132,-74.7958333333333,40.34845833333332,0.463343940930267,1.151581828700115
420549714,420549337,0.092,0.21,0.092,-74.78625000000001,40.34738095238095,0.4409207050958722,1.6786118661893017
420548919,420549336,0.079,0.234,0.079,-74.79437500000002,40.3507638888889,0.4460113213313884,1.638527271241989
420549337,420548920,1.373,0.117,0.033,-74.78841666666665,40.34975,0.4713341397943585,1.1576335805629676
420548480,420548920,0.151,0.071,0.151,-74.79081349206346,40.352202380952384,0.445337320994089,1.4484191522511964
420548055,420547230,0.151,0.397,0.151,-74.79527173913044,40.353822463768125,0.4440873633468039,1.4288094106490243
420547868,420547228,0.151,0.21,0.151,-74.80005434782606,40.35585144927538,0.4464398356380945,1.4659114386136451
420547230,420548056,3.084,0.213,0.099,-74.79219444444445,40.35641666666667,0.4649281526741077,0.9701403845550808
420547231,420548056,0.053,0.117,0.053,-74.78947916666667,40.358020833333335,0.4443875867809816,1.6711121687849753
420547229,420547230,2.834,0.234,0.079,-74.79388888888889,40.35805555555557,0.4677921107649482,0.9847269551003132
420547228,420547229,2.663,0.188,0.053,-74.79680555555551,40.3575,0.4682780018538299,0.992780333251871
420546417,420547229,0.092,0.21,0.092,-74.79452380952382,40.36053571428573,0.4508146006623023,1.639920431847107
420556818,420556611,3.131,0.35,0.112,-74.779681372549,40.318553921568615,0.4555386072529623,0.9942924523713592
420556819,420556417,0.099,0.117,0.099,-74.77536111111112,40.318916666666674,0.4377089365729606,1.6894199833431012
420556611,420556417,3.735,0.117,0.033,-74.77775000000001,40.31991666666667,0.459335226350112,0.9563846897706714
420555999,420556611,0.571,1.291,0.571,-74.78693627450976,40.321661764705865,0.4439576018439828,1.1570550399213966
420556417,420554485,3.867,0.117,0.033,-74.77725000000001,40.32091666666668,0.4604027168898715,0.952107540794182
420555544,420554485,0.118,0.188,0.118,-74.77875000000002,40.32421296296296,0.4369099705856021,1.5469164844295764
420554485,420553623,4.47,1.259,0.485,-74.77284909909909,40.3249662162162,0.4651145608787987,0.9277073333683916
420555118,420554043,0.197,0.63,0.197,-74.7837222222222,40.32480555555555,0.4391849962641693,1.453806469151332
420554484,420554043,0.243,0.471,0.243,-74.78602477477477,40.32751126126125,0.4397980616409391,1.4396749462288905
420554043,420553621,0.6759999999999999,0.654,0.236,-74.77946759259258,40.32861111111111,0.4465215653840813,1.1583806028611097
420554262,420553825,0.138,0.234,0.138,-74.77509920634921,40.32851190476191,0.4386298747128254,1.5271738134663746
420553622,420553623,64.38199999999999,0.259,0.079,-74.77152777777779,40.3311111111111,0.4921156888235978,0.2974432000867602
420553222,420553008,0.217,0.701,0.217,-74.78614898989899,40.331148989899,0.4412456465885873,1.4482130872885253
420553825,420553622,64.099,0.071,0.014,-74.77333333333334,40.33166666666666,0.4919049964902945,0.2985516758441952
420553621,420553825,63.947,0.329,0.079,-74.77534722222222,40.33152777777777,0.4932852451003671,0.3008275534586631
420552360,420553622,0.204,0.35,0.204,-74.77095430107528,40.33498655913978,0.4383751089219604,1.4569161800580548
420553010,420553621,0.066,0.234,0.066,-74.77558333333333,40.33416666666666,0.439800116350147,1.7522980099778316
420553009,420553621,63.126000000000005,0.492,0.191,-74.77897988505745,40.3333764367816,0.4887934600284958,0.2977629262721571
420553418,420553009,0.066,0.21,0.066,-74.78224999999999,40.33183333333334,0.4382016746723121,1.7468596109516572
420554683,420553619,0.112,0.21,0.112,-74.81419117647059,40.32732843137256,0.4391854379549621,1.5970894610343709
420554042,420553619,0.066,0.234,0.066,-74.81499999999998,40.330333333333336,0.4432524148820002,1.669305082038854
420553619,420552358,0.349,0.446,0.171,-74.8116346153846,40.33067307692308,0.4436212387436554,1.1697384911889066
420554261,420552358,0.125,0.21,0.125,-74.80896929824563,40.32844298245614,0.4350185795584012,1.5154963994096042
420552358,420551525,1.208,1.308,0.734,-74.80396577380955,40.33377976190477,0.4727496668824703,1.1653794391628822
420552808,420551945,0.328,0.63,0.328,-74.81429999999997,40.33511666666666,0.4487951065094684,1.1932396108828658
420551944,420551945,0.086,0.142,0.086,-74.81259615384616,40.33791666666667,0.447432920248913,1.6534133000922626
420551945,420551523,0.637,0.679,0.223,-74.80816176470587,40.33786764705883,0.4497234597708457,1.144834221507142
420551524,420551525,3.569,0.188,0.04,-74.8009722222222,40.339166666666685,0.4642771540891365,0.9303217791802092
420551523,420551524,3.293,0.492,0.125,-74.80344298245616,40.33953947368423,0.4637383713450089,0.9656857569584564
420550098,420551524,0.236,0.443,0.236,-74.79888888888888,40.34351851851851,0.447585098904026,1.4039742793547176
420551341,420551522,0.8399999999999999,0.75,0.21,-74.81489583333334,40.34109375,0.4612615843129706,1.1941204335597084
420551342,420551523,2.531,0.117,0.027,-74.80291666666666,40.34166666666666,0.4614648918333974,0.9902531750438508
420550512,420551341,0.348,0.75,0.348,-74.82227201257864,40.34216194968554,0.4545394458186044,1.216197997643942
420550917,420551342,1.7139999999999995,0.633,0.164,-74.80771666666666,40.34185,0.481080084710094,1.1258244369453183
420551522,420550917,1.36,0.117,0.04,-74.81097222222223,40.34013888888889,0.4794431474416581,1.1811372764983283
420551142,420551342,0.79,0.21,0.027,-74.80375000000002,40.34270833333333,0.4589990167317895,1.1466295302830027
420549906,420551341,0.282,0.793,0.282,-74.81942829457363,40.34516472868217,0.455669657219126,1.2923582817548669
420549907,420551522,0.48,0.792,0.204,-74.81374999999998,40.34522849462365,0.4505511240740041,1.1919639754374336
420549133,420550917,0.19,0.628,0.19,-74.81159482758619,40.34708333333335,0.4481211872322608,1.4276646669824935
420550513,420551142,0.086,0.259,0.086,-74.80144230769231,40.34407051282051,0.4453607047307709,1.636183726226078
420550309,420551142,0.375,0.302,0.059,-74.80402777777778,40.3449537037037,0.4491237118318256,1.175619577602394
420549134,420551142,0.302,0.746,0.302,-74.80869565217392,40.34782608695652,0.4491948955275663,1.231174075151607
420549713,420550309,0.086,0.234,0.086,-74.80195512820511,40.34714743589743,0.4480676106663667,1.6392472648884202
420548918,420550309,0.23,0.537,0.23,-74.80539285714285,40.349083333333326,0.4480888201073726,1.396704632297084
420549515,420549907,0.033,0.093,0.033,-74.81525,40.34875,0.4488018186334924,1.692033427080476
420548710,420549907,0.243,0.397,0.243,-74.81739864864866,40.34989864864865,0.4683225997518088,1.4045236082348522
420545156,420543770,0.44,0.093,0.014,-74.83166666666666,40.36666666666667,0.4561999343101821,1.2089228299645658
420545378,420545156,0.118,0.326,0.118,-74.83032407407408,40.36430555555556,0.4582090382934121,1.5129914159524556
420544734,420543770,0.171,0.259,0.171,-74.82836538461541,40.36615384615383,0.4625083972365221,1.4229262032033043
420543771,420543345,0.217,0.886,0.217,-74.8281186868687,40.36991161616163,0.4574008323360343,1.4281689851010952
420553008,420553009,1.682,0.142,0.033,-74.78208333333333,40.33441666666667,0.470737913424715,1.1352359815859585
420552359,420553009,61.187000000000005,0.302,0.066,-74.78008333333334,40.336666666666666,0.4889366490515764,0.3069357416281595
420551144,420551948,0.354,1.262,0.354,-74.77182098765432,40.33864197530863,0.4391682161001186,1.181136233303708
420551947,420552359,0.033,0.093,0.033,-74.78091666666668,40.33925000000001,0.4407835825197183,1.7406047283865589
420551948,420552359,61.08800000000001,0.234,0.073,-74.7780681818182,40.33814393939394,0.4892506529281766,0.3025978049191977
420549909,420552145,0.263,0.765,0.263,-74.76220833333335,40.34387500000001,0.4419725166904986,1.4439163283568923
420551727,420551948,60.66100000000001,0.186,0.033,-74.77847222222223,40.34041666666667,0.4897046307287644,0.3043576579190709
420551527,420551727,0.073,0.35,0.073,-74.77496212121214,40.339962121212125,0.4378563226999823,1.7522980099778316
420551726,420550918,0.112,0.234,0.112,-74.7834068627451,40.33845588235295,0.4385513109315353,1.6650579626803492
420551143,420550918,5.874999999999999,0.517,0.138,-74.78537698412698,40.34105158730159,0.4710437130095969,0.8621797570422747
420550918,420551727,6.124999999999999,0.4,0.138,-74.78125,40.34188492063492,0.4713857465369842,0.8454897568266957
420550919,420551727,54.43000000000001,0.302,0.086,-74.77708333333332,40.34240384615386,0.4923301151017259,0.3055905305239357
420550516,420550920,0.243,0.795,0.243,-74.7714752252252,40.34264639639638,0.4397022202480305,1.4443674795176422
420550920,420550919,0.757,0.117,0.007,-74.77625,40.34375,0.4542450828182136,1.164949906600543
420550312,420550919,53.58700000000001,0.326,0.112,-74.77811274509804,40.345318627450986,0.4930383989599205,0.3076025485790108
420549908,420550920,0.507,0.421,0.132,-74.77354166666666,40.34558333333334,0.4418501041739701,1.1549055788600917
420550515,420550312,0.105,0.188,0.105,-74.78166666666665,40.344479166666666,0.4413120481469996,1.668911859301228
420550313,420549908,0.099,0.259,0.099,-74.76958333333334,40.34547222222221,0.439837489760434,1.6879492670829692
420549715,420550312,53.37000000000001,0.186,0.04,-74.7786111111111,40.3473611111111,0.4938370179141592,0.3136032745062395
420549339,420549908,0.276,0.562,0.276,-74.76835317460318,40.34839285714285,0.4424918447587732,1.4431060265875462
420549338,420549715,53.02200000000001,0.35,0.164,-74.78154999999995,40.34811666666664,0.4894920630150871,0.3060428337833693
420548921,420549715,0.308,0.866,0.308,-74.77337765957448,40.35000886524824,0.4467479838452017,1.201590258912622
420549135,420549338,0.073,0.259,0.073,-74.77890151515149,40.35049242424242,0.4416263581776446,1.7371290102567
420548481,420549338,52.78500000000001,0.443,0.132,-74.78320833333333,40.35162499999999,0.4876641279002746,0.3177530985251446
420548920,420548481,1.649,0.421,0.125,-74.7858552631579,40.35063596491228,0.4727415675854335,1.141826609658144
420551946,420553008,1.432,0.75,0.361,-74.78703787878787,40.33605303030304,0.4694088690935892,1.1613784619115757
420547227,420549516,0.741,1.613,0.741,-74.80462758112098,40.35349188790562,0.4563679254872679,1.1995088239750522
420548479,420549516,0.079,0.117,0.079,-74.79833333333335,40.352222222222224,0.4466108288828889,1.6401015058981732
420547226,420546622,0.348,0.768,0.348,-74.81263364779872,40.35541666666665,0.4671133207486022,1.2180939492675122
420546623,420547228,2.459,0.443,0.184,-74.79910714285715,40.35919642857144,0.4723409237191019,1.0308364542098911
420547026,420546416,0.132,0.326,0.132,-74.81666666666665,40.35741666666667,0.4666826740006331,1.5091264471547343
420546416,420546622,0.73,0.492,0.125,-74.81304824561404,40.35967105263158,0.4696117344130308,1.207958113894293
420546822,420546415,0.105,0.234,0.105,-74.81916666666665,40.35953124999999,0.4686339456428494,1.5890971438901789
420546622,420545158,1.177,0.234,0.099,-74.80936111111112,40.35958333333334,0.4920117124815372,1.2170159838315808
420546415,420546416,0.473,0.188,0.059,-74.81578703703701,40.36078703703703,0.4684741052563964,1.202217392529061
420546218,420546623,2.137,0.21,0.046,-74.79910714285711,40.36208333333333,0.4734151008758271,1.1835841541139454
420545817,420546623,0.138,0.35,0.138,-74.79660714285713,40.36311507936508,0.4479501836959874,1.5140452288017487
420545158,420545987,1.6829999999999998,0.517,0.348,-74.80782232704405,40.36285377358492,0.4848961472345258,1.188058109825377
420545815,420546415,0.145,0.375,0.145,-74.8195075757576,40.36257575757577,0.4666342394681636,1.471186496779659
420545157,420545158,0.158,0.375,0.158,-74.81288194444443,40.36434027777776,0.4663219977253789,1.4437922607972662
420545379,420546415,0.164,0.302,0.164,-74.81648333333331,40.364316666666646,0.4650539697546068,1.4437922607972662
420545987,420546218,2.045,0.4,0.132,-74.802625,40.36204166666665,0.468791296488156,1.1734075683427423
420545816,420546218,0.046,0.234,0.046,-74.8007738095238,40.3639880952381,0.4393491050304417,1.6986975882421795
420544735,420545987,0.23,0.468,0.23,-74.8062261904762,40.36632142857143,0.4487198353145076,1.4195707565418525
420548263,420548481,51.00400000000001,0.093,0.014,-74.78375,40.35416666666666,0.4870377980990585,0.3171741745319372
420548482,420548058,0.151,0.375,0.151,-74.77875,40.352699275362326,0.4414334545351892,1.4913306940877122
420548057,420548263,49.74200000000001,0.117,0.033,-74.78508333333333,40.35441666666667,0.4871693412843144,0.3173833117882604
420548058,420548263,1.248,0.117,0.02,-74.7826388888889,40.35486111111111,0.4703397923022872,1.1701023733440636
420548056,420548057,3.314,0.77,0.177,-74.78891666666668,40.354850000000006,0.4659807194785449,0.98477162068748
420548059,420547027,0.315,0.846,0.315,-74.77354166666667,40.35423611111111,0.4439125923932814,1.1938741425806425
420547027,420548058,1.077,0.35,0.171,-74.7810576923077,40.35740384615384,0.4681499886141291,1.1635443755319033
420546824,420548057,46.39500000000001,0.628,0.184,-74.78505952380952,40.35764880952381,0.4808058877801576,0.3152253324423412
420547233,420547232,0.177,0.471,0.177,-74.77162037037037,40.35665123456791,0.4431773663774151,1.4520214678538033
420547232,420547027,0.591,0.354,0.099,-74.77752777777778,40.35713888888888,0.4479607538059039,1.150666106917861
420545820,420547232,0.315,0.652,0.315,-74.77706597222219,40.36138888888888,0.4426056204971303,1.185759621509554
420546823,420546824,0.375,0.117,0.014,-74.78499999999998,40.36,0.4521264994207139,1.179792028843461
420545819,420546824,45.83600000000001,0.511,0.171,-74.78266025641024,40.36214743589744,0.4811746175272068,0.3190370631530818
420546219,420546823,0.249,0.542,0.249,-74.78947368421052,40.360877192982464,0.4470521879960786,1.3743778176264076
420545818,420546823,0.112,0.234,0.112,-74.78723039215684,40.36296568627451,0.4454174202166002,1.6075355861092375
420544963,420546418,0.138,0.467,0.138,-74.76295634920633,40.36462301587301,0.4484720582668598,1.498201959423909
420545821,420545988,0.23,0.679,0.23,-74.7719880952381,40.36305952380953,0.4442193887608993,1.4037386514472532
420545380,420545819,44.69900000000001,0.234,0.059,-74.78513888888892,40.3651388888889,0.4707605892933817,0.3201304374511918
420544738,420545819,0.966,0.795,0.302,-74.77987318840579,40.366539855072446,0.4665582683108457,1.1577054486283669
420544364,420545604,0.295,0.633,0.295,-74.77034259259258,40.366972222222216,0.4526887841360191,1.2084833006706055
420543975,420545380,0.217,0.722,0.217,-74.7842803030303,40.3691287878788,0.4539534640699566,1.4028217553839557
420544962,420544738,0.086,0.117,0.086,-74.77496794871796,40.36637820512821,0.4500736570183391,1.642570904892564
420544166,420544738,0.5780000000000001,0.35,0.145,-74.77575757575758,40.369772727272725,0.4540424198699322,1.1598375183198093
420543772,420544536,43.25300000000001,0.511,0.21,-74.78794270833332,40.371770833333336,0.4553300337706717,0.3257845640530206
420543557,420544166,0.125,0.071,0.125,-74.7800657894737,40.37125000000001,0.4559441615596959,1.5187948517124994
420542546,420544167,0.348,0.793,0.348,-74.77151729559749,40.37386006289308,0.4470367263436224,1.1982993189977045
420542132,420544166,0.308,0.628,0.308,-74.77557624113477,40.37511524822696,0.4579264131334346,1.2228707720107077
420541930,420543772,0.682,1.453,0.682,-74.781891025641,40.37650641025642,0.4590401895167184,1.2093012938251797
420544732,420544361,0.551,1.167,0.551,-74.84174603174604,40.364494047619054,0.4590201618399274,1.194684982196741
420545377,420545156,0.308,0.583,0.308,-74.8343705673759,40.36311170212767,0.4539355087985753,1.2297707232322614
420544731,420544165,0.053,0.259,0.053,-74.84708333333332,40.36781249999999,0.4545340301008919,1.6979189431953725
420544362,420543970,0.125,0.466,0.125,-74.83550438596491,40.36839912280701,0.4538771592595054,1.533969755676901
420543770,420543147,0.775,0.72,0.164,-74.83262681159418,40.369945652173925,0.4694342804399142,1.2210472280325757
420544733,420544361,0.04,0.117,0.04,-74.83791666666667,40.367777777777775,0.4550319437523439,1.6968731783087176
420543768,420544165,0.335,0.679,0.335,-74.8490931372549,40.370661764705886,0.4525611806403932,1.216567383646624
420544165,420543968,0.585,0.654,0.197,-74.84311111111113,40.36944444444447,0.4560803453414712,1.2091781300615558
420544361,420543969,0.6370000000000001,0.233,0.046,-74.8385119047619,40.36934523809523,0.4592635021308172,1.2133787019736548
420543968,420543969,0.939,0.142,0.033,-74.83958333333334,40.37125,0.4770833918358522,1.2159787518631535
420543969,420543970,1.5900000000000003,0.071,0.014,-74.83833333333332,40.37166666666667,0.4899336807531778,1.2052064867699277
420543970,420543769,1.7420000000000002,0.117,0.027,-74.83749999999999,40.37104166666668,0.4883629986752258,1.1883861312924051
420542738,420543968,0.321,0.466,0.321,-74.84325680272107,40.374311224489794,0.4516125802952701,1.2110970908245782
420543769,420543344,1.8740000000000003,0.188,0.046,-74.83589285714287,40.37184523809525,0.4894822877862956,1.1853741625363765
420542933,420543769,0.086,0.117,0.086,-74.8388141025641,40.37439102564101,0.4509026949306018,1.6359751425813585
420543767,420543342,2.154,0.725,0.276,-74.86674603174605,40.37019841269842,0.4804209061008414,1.153591882695835
420543555,420542931,0.099,0.302,0.099,-74.86019444444445,40.37175,0.4486059829853357,1.6181725223792114
420543146,420543342,0.105,0.259,0.105,-74.86598958333335,40.37432291666667,0.4457461028987767,1.5849550334053335
420543342,420542931,2.371,0.446,0.112,-74.86257352941176,40.37340686274511,0.4814583518967497,1.0706302396406708
420543343,420542931,0.099,0.233,0.099,-74.85708333333332,40.37319444444446,0.4503964551694744,1.615349132710178
420541924,420542541,0.676,0.492,0.131,-74.86216666666668,40.37825,0.4635408212093057,1.1491933780589705
420541923,420541924,0.427,0.608,0.269,-74.86742886178861,40.37753048780488,0.4530968509169007,1.155440363942425
420541318,420541924,0.118,0.535,0.118,-74.865,40.38092592592593,0.4513665456778199,1.5002894643693057
420542126,420541725,3.725,0.21,0.033,-74.85775,40.37841666666665,0.4841008716742961,0.9141637199714256
420541529,420541923,0.099,0.142,0.099,-74.87041666666666,40.38041666666666,0.4492974567928446,1.6042934582688724
420541724,420541725,0.046,0.117,0.046,-74.85994047619047,40.38017857142857,0.4513938841977843,1.6701429233481235
420541317,420541923,0.059,0.093,0.059,-74.86865740740741,40.381805555555566,0.4511811219584163,1.66225031660851
420541725,420541319,3.798,0.117,0.027,-74.85812499999999,40.380416666666655,0.4840343972042782,0.9126963495893096
420540917,420541319,0.519,0.608,0.151,-74.86034420289855,40.38273550724637,0.4552213623032323,1.1449305307794866
420540280,420540917,0.269,0.375,0.269,-74.86665650406503,40.38448170731707,0.4494757460226825,1.3912301102129747
420540075,420540917,0.099,0.443,0.099,-74.86236111111111,40.38580555555555,0.4470526474357152,1.6169632916988526
420545152,420544729,0.23,0.492,0.23,-74.87991666666666,40.364726190476176,0.4533358437227734,1.416010176101138
420544729,420544535,0.945,0.864,0.341,-74.87282051282052,40.366762820512825,0.4738006852864808,1.207530464499165
420543554,420544729,0.374,0.609,0.374,-74.88006578947368,40.3703581871345,0.4539703606835247,1.198264965480428
420544535,420543767,1.3130000000000002,0.117,0.02,-74.87097222222222,40.36930555555555,0.4871525765614228,1.1894605214907688
420542737,420544535,0.348,0.75,0.348,-74.87617138364776,40.37274371069181,0.4546125249726703,1.1967090768874138
420543145,420543767,0.565,0.63,0.177,-74.87063271604934,40.37347222222221,0.4586657397481936,1.1563073109056354
420542540,420543145,0.145,0.213,0.145,-74.87526515151512,40.37549242424241,0.4519908131737424,1.4497541062250598
420541723,420543145,0.243,0.419,0.243,-74.87359234234235,40.37852477477477,0.4446696051589343,1.3795994445460762
420545159,420544737,0.125,0.35,0.125,-74.79256578947368,40.36502192982455,0.4480340385368657,1.5377062951956295
420544363,420544736,0.374,0.796,0.374,-74.80125000000002,40.36777046783626,0.445445537548744,1.2388921436250944
420544736,420544737,0.6950000000000001,0.542,0.19,-74.79399691358023,40.36726851851851,0.458816917264718,1.2055001367319442
420544737,420544961,0.8340000000000001,0.117,0.014,-74.79,40.368333333333325,0.4672577039126993,1.2173511859538215
420544536,420544961,43.44400000000001,0.186,0.033,-74.78858333333334,40.36875,0.4582715180672101,0.325439644516925
420543973,420544736,0.131,0.443,0.131,-74.79800925925923,40.37037037037038,0.4394788683275694,1.523378271793514
420543974,420544536,0.158,0.537,0.158,-74.79326388888887,40.37052083333335,0.453856881992813,1.4561033672329111
420541929,420540509,0.544,1.464,0.544,-74.80730421686745,40.3735391566265,0.4584281267996509,1.2036926495864415
420543149,420542341,0.19,0.559,0.19,-74.81291666666667,40.37285919540231,0.4708913938197117,1.4304846143827752
420543151,420543772,42.361,0.304,0.131,-74.79324999999999,40.37345833333333,0.4550257421092841,0.3247016219691511
